"","t","total_electricity","outdoor_temp","s","daypart","weekday","outdoor_temp_h","outdoor_temp_lp_h","outdoor_temp_c","outdoor_temp_lp_c","daypart_fs_sin_1","daypart_fs_cos_1","daypart_fs_sin_2","daypart_fs_cos_2","daypart_fs_sin_3","daypart_fs_cos_3"
"1",2015-12-07 12:00:00,14519.4253141523,14.3,"01","3","1",2.3,16.2995285679791,0,0,1.22464679914735e-16,-1,-2.44929359829471e-16,1,3.67394039744206e-16,-1
"2",2015-12-07 13:00:00,15832.107024767,15.2,"01","3","1",1.4,15.9864598487304,0,0,-0.25881904510252,-0.965925826289068,0.499999999999999,0.866025403784439,-0.707106781186548,-0.707106781186547
"3",2015-12-07 14:00:00,14586.5857737651,16,"01","3","1",0.600000000000001,15.6631597351304,0,0,-0.5,-0.866025403784439,0.866025403784439,0.5,-1,-4.28626379701574e-16
"4",2015-12-07 15:00:00,13949.3939751242,16.2,"01","3","1",0.400000000000002,15.342450402069,0,0,-0.707106781186547,-0.707106781186548,1,3.06161699786838e-16,-0.707106781186548,0.707106781186547
"5",2015-12-07 16:00:00,15919.2491087274,15.8,"01","4","1",0,0,0.266666666666667,0,-0.866025403784438,-0.5,0.866025403784439,-0.499999999999999,-4.89858719658941e-16,1
"6",2015-12-07 17:00:00,15499.0799523066,13.7,"01","4","1",1.83333333333333,13.7151978616294,0,0,-0.965925826289068,-0.258819045102521,0.5,-0.866025403784439,0.707106781186548,0.707106781186547
"7",2015-12-07 19:00:00,16127.3910290152,10.3,"01","4","1",5.23333333333333,13.5369770237956,0,0,-0.965925826289068,0.25881904510252,-0.499999999999999,-0.866025403784439,0.707106781186549,-0.707106781186546
"8",2015-12-07 20:00:00,9928.64712028578,9.7,"01","5","1",4.16666666666667,11.708441486398,0,0,-0.866025403784439,0.5,-0.866025403784439,-0.5,6.12323399573677e-16,-1
"9",2015-12-07 21:00:00,8377.29600774113,9.5,"01","5","1",4.36666666666667,11.5541762001281,0,0,-0.707106781186548,0.707106781186547,-1,-4.28626379701574e-16,-0.707106781186548,-0.707106781186547
"10",2015-12-07 22:00:00,6742.68812708138,10.7,"01","5","1",3.16666666666667,11.3779379483374,0,0,-0.5,0.866025403784438,-0.866025403784439,0.499999999999999,-1,-2.44991257893129e-15
"11",2015-12-07 23:00:00,5821.8682717284,10,"01","5","1",3.86666666666667,11.2201112044002,0,0,-0.258819045102521,0.965925826289068,-0.5,0.866025403784439,-0.707106781186549,0.707106781186546
"12",2015-12-08 00:00:00,6311.41806824517,11,"02","0","2",1.66666666666667,9.84458872589957,0,0,0,1,0,1,0,1
"13",2015-12-08 01:00:00,6781.54128553509,10.9,"02","0","2",1.76666666666667,9.67485552248064,0,0,0.258819045102521,0.965925826289068,0.5,0.866025403784439,0.707106781186547,0.707106781186548
"14",2015-12-08 02:00:00,6989.12816070206,10.2,"02","0","2",2.46666666666667,9.52339714291537,0,0,0.5,0.866025403784439,0.866025403784439,0.5,1,6.12323399573677e-17
"15",2015-12-08 03:00:00,6731.58722466603,10,"02","0","2",2.66666666666667,9.37932360269302,0,0,0.707106781186547,0.707106781186548,1,6.12323399573677e-17,0.707106781186548,-0.707106781186547
"16",2015-12-08 04:00:00,6819.28435374727,9.8,"02","1","2",7.93333333333333,14.3091463983227,0,0,0.866025403784439,0.5,0.866025403784439,-0.5,1.22464679914735e-16,-1
"17",2015-12-08 05:00:00,6724.37163809605,9.5,"02","1","2",8.23333333333333,14.1814814855725,0,0,0.965925826289068,0.258819045102521,0.5,-0.866025403784439,-0.707106781186547,-0.707106781186548
"18",2015-12-08 06:00:00,6554.52783114125,9.1,"02","1","2",8.63333333333333,14.0649038617706,0,0,1,6.12323399573677e-17,1.22464679914735e-16,-1,-1,-1.83697019872103e-16
