partial_pooling_cvrmse,no_pooling_cvrmse,complete_pooling_cvrmse,partial_pooling_coverage,no_pooling_coverage,complete_pooling_coverage,id
0.19304466751278807,0.1938111742837591,0.23537226449776985,98.25381819367249,97.02779282565987,92.80454127503555,Panther_parking_Asia
0.1942080112183304,0.19509102964774133,0.2351506118879934,95.6965426518768,96.07392371954242,92.58161188225512,Panther_office_Lauretta
0.19419003496646733,0.19296772248737687,0.2353885879100365,93.9563476121488,95.82621501926714,92.5816214702862,Panther_office_Ruthie
0.19253205791808206,0.19418965509150893,0.2351638149963364,95.1454418020896,94.767585168083,92.63735669489063,Panther_education_Tina
0.19369297030633864,0.19394155867217253,0.2353751690350557,95.7764032802572,95.05819838978607,92.91597912493877,Panther_retail_Romeo
0.1936538207615742,0.1941645203987836,0.2350970492958439,97.24450150388266,93.31213739264999,92.798356994996,Panther_education_Violet
0.19463280062555266,0.1940737946434868,0.2354616555997136,96.7615619669654,93.6958580664585,92.69927044671594,Panther_office_Catherine
0.1924659073821042,0.1939551527418943,0.2351914141643853,92.69900198184601,96.60639118975,92.76120337460341,Panther_office_Graham
0.1930773707223591,0.1930773695262587,0.2356031490761975,95.96224808646869,94.39555230414769,92.70547773803005,Panther_lodging_Kara
0.19446531278715368,0.1932155177185277,0.2354215721653537,95.80797474896136,95.13924026359415,92.75499033047069,Panther_assembly_Pamella
0.19367856933250446,0.1931670132055741,0.2347378670992755,95.92561605496626,94.52593802104956,92.79214011565078,Panther_retail_Gilbert
0.19359314701340785,0.19374986511967648,0.2352169321352467,96.60644871793644,94.65593254628382,92.74260642954194,Panther_office_Karla
0.19302194615350432,0.1931468935650926,0.2353203309991681,95.01528428032718,93.42969240637528,92.80453552221692,Panther_lodging_Jorge
0.19322660398579344,0.19358994437371294,0.2348689136917064,93.60309961868401,92.86018253693548,92.78595008279264,Panther_office_Hannah
0.1930851467768877,0.19401356480649112,0.2356037188037776,94.04306943556222,96.46998610694298,92.60640269538729,Panther_retail_Felix
0.19310120056655405,0.19239614130332736,0.2351998110576506,94.7363627037097,94.51327223200735,92.56924332217605,Panther_education_Edna
0.1933795975732994,0.19283157719216296,0.2359516072025156,94.4392909842785,97.3807224964932,92.63115515639518,Panther_lodging_Cora
0.1925289882358024,0.19297721246143545,0.2354451138261164,97.3991660330576,93.34919513273192,92.66211682632336,Panther_lodging_Awilda
0.1933616384879368,0.19388762278733826,0.2364537457881696,95.67109218220713,96.01170506832909,92.57543143742802,Panther_office_Larry
0.19300399624878667,0.19383362730619744,0.2342357748459513,93.98703889960085,95.15159923564215,92.9655223990788,Panther_education_Misty
0.1932039475154864,0.1927898575126404,0.2355210057315461,97.80788845668177,94.97769919853648,92.74879070958141,Panther_education_Janis
0.19213591161201168,0.19251650350657767,0.23517462167795605,96.10473965139838,92.86617889156608,92.90361056485969,Panther_lodging_Gale
0.1935725116223949,0.19372686815218595,0.23597270084875216,93.78297875196436,93.31827948535286,92.5135138503903,Panther_office_Patti
0.19395839762429706,0.19256184424145595,0.23544081242314746,95.95042604416055,97.43017564314115,92.73641639668371,Panther_lodging_Blaine
0.1934230795494963,0.19406049993702074,0.2352186314105716,96.55042777000614,96.19154393187895,92.62494786508108,Panther_parking_Alaina
0.19427147172889386,0.19359750055302244,0.2356207876946867,96.45761371165148,96.22895642911041,92.55684599800377,Panther_education_Jerome
0.1929435382542181,0.19330407171062894,0.2354891488125652,97.45505850137155,95.47361134149021,92.55685175082243,Panther_education_Teofila
0.19302823946728453,0.1933624453817168,0.2353243310640868,94.87917067366465,94.85441245983813,92.53826055857952,Panther_lodging_Edison
0.19322918762792327,0.19332671320885397,0.2356119482826052,93.92505036113319,96.4083427375938,92.81690791750843,Panther_lodging_Hattie
0.19311403775735614,0.1929904574961435,0.23498199008369544,93.49179408360956,95.65908413209624,92.69926085868488,Panther_education_Quintin
0.19319537663109165,0.19378371445585169,0.23483151427344304,95.70271926149151,94.3527187341498,92.83547609847678,Panther_parking_Lorriane
0.19448619349571128,0.19422729571621272,0.2354044157662113,97.06444595083063,97.28784707473969,92.84788301068012,Panther_office_Valarie
0.12234870795450345,0.12142005309139225,0.15838207459974746,96.75674277337576,97.10694222213706,90.34853870647335,Panther_office_Otto
0.2719971764890145,0.27213855281097,0.3847624550860308,92.90034215615252,92.59659749704143,92.76612394654022,Panther_assembly_Carrol
0.2703115273871549,0.2738622856367365,0.3838502743531465,91.9042277089607,92.95682685840981,92.68137319467479,Panther_office_Garth
0.27210455558423313,0.27022246109025344,0.38660906364457054,92.25036271146529,92.2150968793842,92.67429857489815,Panther_parking_Mellissa
0.16497264638160206,0.16488180811810146,0.18188858744461545,95.61358107474352,93.93279260886831,91.43902905084343,Panther_lodging_Jana
0.11408440756896428,0.11377514187784425,0.14031726553252716,94.74525810170769,94.56436494173029,92.88060859817385,Panther_education_Annetta
0.17926899135051458,0.1792059270612226,0.20568085444457126,94.60261391734369,94.60967855881313,94.27057576827976,Panther_lodging_Myrtle
0.127467098750686,0.12643205414177394,0.2831425918137641,95.14718501976702,93.26099559557522,91.57235919111851,Panther_office_Jesus
0.14676921650032335,0.14562440271929622,0.1697596219973776,86.82444365948429,88.802543270929,85.46096785588131,Panther_other_Bethel
0.0834932796031056,0.08380132274632937,0.0854469276853362,99.07934547547384,98.93880721809786,98.44676029132246,Panther_education_Sophia
0.05818956113526987,0.05682236481382449,0.05774952156812304,99.83046357219405,99.73862323309126,99.25118292831385,Panther_lodging_Cornelia
